feature,mean,median,std,min,max,skewness,kurtosis
radius_mean,12.1465,12.2,1.7805,6.981,17.85,-0.0834,-0.0289
texture_mean,17.9148,17.39,3.9951,9.71,33.81,0.9772,1.1859
perimeter_mean,78.0754,78.18,11.8074,43.79,114.6,-0.0644,-0.033
area_mean,462.7902,458.4,134.2871,143.5,992.1,0.3408,0.2884
smoothness_mean,0.0925,0.0908,0.0134,0.0526,0.1634,0.6607,1.8128
compactness_mean,0.0801,0.0753,0.0337,0.0194,0.2239,1.2073,2.2379
concavity_mean,0.0461,0.0371,0.0434,0.0,0.4108,3.4587,20.5274
concave_points_mean,0.0257,0.0234,0.0159,0.0,0.0853,0.9211,1.0068
symmetry_mean,0.1742,0.1714,0.0248,0.106,0.2743,0.6562,1.271
fractal_dimension_mean,0.0629,0.0615,0.0067,0.0518,0.0958,1.6437,4.4052
radius_se,0.2841,0.2575,0.1126,0.1115,0.8811,1.4976,3.939
texture_se,1.2204,1.108,0.5892,0.3602,4.885,1.6475,5.3496
perimeter_se,2.0003,1.851,0.7712,0.757,5.118,1.1827,1.7042
area_se,21.1351,19.63,8.8435,6.802,77.11,1.6392,5.2556
smoothness_se,0.0072,0.0065,0.0031,0.0017,0.0218,1.5022,3.0027
compactness_se,0.0214,0.0163,0.0164,0.0023,0.1064,2.203,5.9036
concavity_se,0.026,0.0184,0.0329,0.0,0.396,6.3004,58.2045
concave_points_se,0.0099,0.0091,0.0057,0.0,0.0528,2.1381,10.4767
symmetry_se,0.0206,0.0191,0.007,0.0095,0.0615,1.372,3.2776
fractal_dimension_se,0.0036,0.0028,0.0029,0.0009,0.0298,4.3172,27.3452
radius_worst,13.3798,13.35,1.9814,7.93,19.82,-0.0315,-0.1776
texture_worst,23.5151,22.82,5.494,12.02,41.78,0.7188,0.4248
perimeter_worst,87.0059,86.92,13.5271,50.41,127.1,0.0087,-0.2438
area_worst,558.8994,547.4,163.6014,185.2,1210.0,0.3659,0.1636
smoothness_worst,0.125,0.1254,0.02,0.0712,0.2006,0.3397,0.3802
compactness_worst,0.1827,0.1698,0.0922,0.0273,0.5849,1.0915,1.696
concavity_worst,0.1662,0.1412,0.1404,0.0,1.252,2.543,12.4181
concave_points_worst,0.0744,0.0743,0.0358,0.0,0.175,0.1118,-0.179
symmetry_worst,0.2702,0.2687,0.0417,0.1566,0.4228,0.2337,0.2746
fractal_dimension_worst,0.0794,0.0771,0.0138,0.0552,0.1486,1.4098,3.1127
