feature,mean,median,std,min,max,skewness,kurtosis
radius_mean,14.1273,13.37,3.524,6.981,28.11,0.9399,0.8276
texture_mean,19.2896,18.84,4.301,9.71,39.28,0.6487,0.7411
perimeter_mean,91.969,86.24,24.299,43.79,188.5,0.988,0.9532
area_mean,654.8891,551.1,351.9141,143.5,2501.0,1.6414,3.6098
smoothness_mean,0.0964,0.0959,0.0141,0.0526,0.1634,0.4551,0.8379
compactness_mean,0.1043,0.0926,0.0528,0.0194,0.3454,1.187,1.6251
concavity_mean,0.0888,0.0615,0.0797,0.0,0.4268,1.3975,1.9706
concave_points_mean,0.0489,0.0335,0.0388,0.0,0.2012,1.1681,1.0467
symmetry_mean,0.1812,0.1792,0.0274,0.106,0.304,0.7237,1.2661
fractal_dimension_mean,0.0628,0.0615,0.0071,0.05,0.0974,1.301,2.969
radius_se,0.4052,0.3242,0.2773,0.1115,2.873,3.0805,17.5212
texture_se,1.2169,1.108,0.5516,0.3602,4.885,1.6421,5.2918
perimeter_se,2.8661,2.287,2.0219,0.757,21.98,3.4345,21.2038
area_se,40.3371,24.53,45.491,6.802,542.2,5.4328,48.7672
smoothness_se,0.007,0.0064,0.003,0.0017,0.0311,2.3083,10.3675
compactness_se,0.0255,0.0204,0.0179,0.0023,0.1354,1.8972,5.051
concavity_se,0.0319,0.0259,0.0302,0.0,0.396,5.097,48.4226
concave_points_se,0.0118,0.0109,0.0062,0.0,0.0528,1.4409,5.0708
symmetry_se,0.0205,0.0187,0.0083,0.0079,0.079,2.1893,7.8164
fractal_dimension_se,0.0038,0.0032,0.0026,0.0009,0.0298,3.9136,26.0399
radius_worst,16.2692,14.97,4.8332,7.93,36.04,1.1002,0.9253
texture_worst,25.6772,25.41,6.1463,12.02,49.54,0.497,0.2118
perimeter_worst,107.2612,97.66,33.6025,50.41,251.2,1.1252,1.0502
area_worst,880.5831,686.5,569.357,185.2,4254.0,1.8545,4.3473
smoothness_worst,0.1324,0.1313,0.0228,0.0712,0.2226,0.4143,0.5028
compactness_worst,0.2543,0.2119,0.1573,0.0273,1.058,1.4697,3.0021
concavity_worst,0.2722,0.2267,0.2086,0.0,1.252,1.1472,1.5906
concave_points_worst,0.1146,0.0999,0.0657,0.0,0.291,0.4913,-0.5414
symmetry_worst,0.2901,0.2822,0.0619,0.1565,0.6638,1.4301,4.3951
fractal_dimension_worst,0.0839,0.08,0.0181,0.055,0.2075,1.6582,5.1881
